dim,n_points,version,threads,time_mean_s,time_std_s,speedup,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10
2,100000,serial,1,0.10696,0.02665,1.0,0.0945,0.0933,0.093,0.094,0.1602,0.0934,0.1603,0.0937,0.0936,0.0936
2,100000,parallel,1,0.1034,0.02468,1.0344,0.0866,0.0885,0.1529,0.1451,0.0894,0.0886,0.0875,0.1194,0.0882,0.0878
2,100000,parallel,8,0.02495,0.00521,4.287,0.033,0.0315,0.0284,0.0278,0.0268,0.021,0.0239,0.0178,0.0225,0.0168
2,100000,parallel,16,0.01719,0.01403,6.2222,0.0142,0.0591,0.0129,0.0154,0.0117,0.011,0.0116,0.0113,0.013,0.0117
2,100000,parallel,32,0.0182,0.00078,5.8769,0.018,0.0196,0.0178,0.0193,0.0172,0.0186,0.0183,0.0182,0.017,0.018
2,200000,serial,1,0.08005,0.00242,1.0,0.0778,0.0861,0.0799,0.0793,0.0795,0.0777,0.0776,0.0811,0.0797,0.0818
2,200000,parallel,1,0.07645,0.00311,1.0471,0.0746,0.073,0.0818,0.0803,0.0808,0.0745,0.0753,0.073,0.0752,0.076
2,200000,parallel,8,0.02318,0.00175,3.4534,0.0246,0.0222,0.0214,0.0218,0.0255,0.0229,0.0226,0.0269,0.0218,0.0221
2,200000,parallel,16,0.02394,0.00533,3.3438,0.0204,0.0224,0.0184,0.0168,0.0318,0.0214,0.0302,0.0216,0.0238,0.0326
2,200000,parallel,32,0.02538,0.0027,3.1541,0.0239,0.0302,0.0307,0.0262,0.0248,0.0236,0.0245,0.0241,0.0225,0.0233
2,300000,serial,1,0.14215,0.00284,1.0,0.1461,0.1427,0.1399,0.1449,0.1426,0.1417,0.1359,0.1431,0.1447,0.1399
2,300000,parallel,1,0.13315,0.00269,1.0676,0.1338,0.1363,0.1314,0.1265,0.1337,0.1344,0.133,0.1321,0.1338,0.1365
